,State,city,Zipcode,latitude,longitude,counts
6205,AZ,Lake Havasu City,86404,34.54217,-114.35287,3
6208,AZ,Mesa,85206,33.385361,-111.695062,26
6234,AZ,Peoria,85382,33.636921,-112.253682,15
6249,AZ,Phoenix,85014,33.509862,-112.054162,206
6455,AZ,Surprise,85388,33.605183,-112.420442,12
6467,AZ,Scottsdale,85260,33.635224,-111.915739,120
6587,AZ,Tempe,85284,33.346812,-111.967793,77
6664,CA,Antioch,94509,38.007799,-121.832042,12
6676,CA,Bakersfield,93313,35.310723,-119.035324,41
6717,CA,Buena Park,90621,33.865497,-117.995215,16
6733,CA,Carson,90745,33.824968,-118.245675,15
6748,CA,Cathedral City,92234,33.78414,-116.471,8
6756,CA,Cerritos,90703,33.861544,-118.100471,13
6769,CA,Chico,95926,39.756332,-121.843715,19
6788,CA,City of Industry,91748,33.997621,-117.928216,75
6863,CA,Clovis,93612,36.836818,-119.717629,48
6911,CA,Colma,94014,37.671267,-122.463541,6
6917,CA,Concord,94520,37.980192,-122.050128,32
6949,CA,Corona,92882,33.88309,-117.615292,37
6986,CA,Costa Mesa,92626,33.675397,-117.918684,75
7061,CA,Duarte,91010,34.136553,-117.975944,4
7065,CA,El Cajon,92020,32.795896,-116.976156,33
7098,CA,Eureka,95501,40.800562,-124.164405,17
7115,CA,Folsom,95630,38.634132,-121.204871,49
7164,CA,Fontana,92336,34.135345,-117.445732,24
7188,CA,Fremont,94538,37.489389,-121.9576,98
7286,CA,Fresno,93710,36.818622,-119.789796,200
7486,CA,Garden Grove,92844,33.766376,-117.968337,14
7500,CA,Gardena,90247,33.889201,-118.307028,11
7511,CA,Gilroy,95020,36.996869,-121.558573,21
7532,CA,Glendale,91204,34.137054,-118.25536,51
7583,CA,Hayward,94544,37.662305,-122.075178,95
7678,CA,Hemet,92545,33.741163,-117.031718,8
7686,CA,Huntington Beach,92647,33.71069,-117.989861,47
7733,CA,Irvine,92618,33.632505,-117.723298,542
8275,CA,La Quinta,92253,33.70711,-116.283712,7
8282,CA,Merced,95340,37.305891,-120.502428,11
8293,CA,Mission Hills,91345,34.269809,-118.466606,7
8300,CA,Modesto,95356,37.705119,-120.99471,16
8316,CA,Montclair,91763,34.082404,-117.694876,5
8321,CA,Redlands,92374,34.065387,-117.212007,17
8338,CA,Napa,94559,38.292706,-122.277767,73
8411,CA,National City,91950,32.659001,-117.100836,20
8431,CA,Oceanside,92056,33.181953,-117.298334,20
8451,CA,Orange,92867,33.80857,-117.864434,100
8551,CA,Palmdale,93551,34.591173,-118.138184,21
8572,CA,Petaluma,94952,38.267202,-122.665068,29
8601,CA,Poway,92064,32.956772,-117.025943,7
8608,CA,Redding,96002,40.571632,-122.36654,12
8620,CA,Redwood City,94063,37.495963,-122.227322,166
8786,CA,Richmond,94806,37.985253,-122.32124,37
8823,CA,Roseville,95661,38.752198,-121.256452,36
