,State,city,Zipcode,latitude,longitude,counts
15995,OR,Heppner,97836,45.356558,-119.553373,1
15996,CA,Coalinga,93210,36.2561,-120.248181,12
16008,CA,Tulare,93274,36.225598,-119.333601,6
16014,WY,Moose,83012,43.653353,-110.71854,2
16016,WA,Twisp,98856,48.362102,-120.121376,1
16017,CO,Salida,81201,38.542959,-106.008655,9
16026,OR,Condon,97823,45.234126,-120.184295,1
16027,CA,Lost Hills,93249,35.617189,-119.656363,2
16029,CO,Snowmass Village,81615,39.220459,-106.93193,5
16034,CA,San Carlos,94070,37.500518,-122.246433,10
16044,CA,Taft,93268,35.140839,-119.448704,2
16046,WA,Concrete,98237,48.537035,-121.758653,1
16047,CA,Garberville,95542,40.098333,-123.795397,4
16051,UT,Sandy,84070,40.574722,-111.893125,42
16093,NV,Fallon,89406,39.475259,-118.767941,8
16101,AZ,Sierra Vista,85635,31.554201,-110.268313,3
16104,AZ,Yuma,85365,32.670507,-114.599182,4
16108,WA,Republic,99166,48.64698,-118.737542,1
16109,WA,Kenmore,98028,47.731215,-122.249567,3
16112,CO,Windsor,80550,40.464906,-104.852293,4
16116,OR,Seaside,97138,45.978568,-123.926604,3
16119,CO,Edwards,81632,39.645807,-106.588043,8
16127,MT,Helena,59601,46.598394,-112.031142,4
16131,MT,Gardiner,59030,45.029727,-110.70782,1
16132,WY,Teton Village,83025,43.586682,-110.826899,2
16134,WA,Davenport,99122,47.652922,-118.150361,1
16135,CA,Livermore,94551,37.69435,-121.74205,32
16167,CO,Arvada,80002,39.798752,-105.079549,15
16182,CO,Englewood,80113,39.654727,-104.961309,13
16195,WA,Kingston,98346,47.812524,-122.540217,2
16197,WA,Poulsbo,98370,47.760676,-122.649657,5
16202,WA,Long Beach,98631,46.349339,-124.05352,2
16204,CA,Stateline,89449,38.96016,-119.942614,2
16206,WY,Lander,82520,42.840074,-108.744943,1
16207,CO,Fort Lupton,80621,40.079084,-104.806977,2
16209,CA,Huron,93234,36.206049,-120.103577,7
16216,CA,Lincoln,95648,38.840266,-121.315634,14
16230,WA,Bridgeport,98813,48.009356,-119.672953,1
16231,WA,Tonasket,98855,48.705586,-119.438406,1
16232,UT,South Salt Lake,84115,40.730178,-111.900669,5
16237,CA,Danville,94506,37.783831,-121.967591,9
16246,CO,Golden,80401,39.729753,-105.21053,42
16288,WY,Cody,82414,44.474993153795,-109.427828,2
16290,OR,Lake Oswego,97035,45.41896,-122.715093,29
16319,WA,North Bend,98045,47.42101,-121.791179,4
16323,CA,Kerman,93630,36.727657,-120.0617,4
16327,CA,Kingsburg,93631,36.514767,-119.55285,5
16332,CA,Mendota,93640,36.753933,-120.382469,13
16345,CA,San Joaquin,93660,36.605946,-120.186373,2
16347,CA,Reedley,93654,36.599016,-119.453595,4
16351,CA,Orange Cove,93646,36.623959,-119.312389,4
16355,CA,Sanger,93657,36.706162,-119.562194,8
16363,CA,Parlier,93648,36.612177,-119.540641,3
16366,CA,Fowler,93625,36.627738,-119.677688,4
16370,CO,Avon,81620,39.637812,-106.534988,21
16391,CO,Vail,81657,39.641089,-106.394388,27
16418,UT,Draper,84020,40.529191,-111.859257,44
16462,NV,Panaca,89042,37.789859,-114.407796,2
16464,CA,Firebaugh,93622,36.859284,-120.455057,5
16469,CO,Basalt,81621,39.368351,-107.038403,8
16477,WA,spokane,99201,47.652783,-117.434917,1
16478,UT,Washington,84780,37.14512,-113.486888,3
16481,UT,Fillmore,84631,38.948074,-112.346432,4
16485,CA,Bloomington,92316,34.062956,-117.378269,1
16486,MT,Big Sky,59716,45.261,-111.307521,4
16490,NM,Las Cruces,88012,32.462139,-106.614,7
16497,WY,Old Faithful,82190,44.458498,-110.823834,2
16499,WY,Canyon,82190,44.732811,-110.485299,2
16501,AZ,Marana,85653,32.5209,-111.329827,2
16503,ID,Eagle,83616,43.686844,-116.348558,3
16506,CA,Perris,92585,33.760846,-117.185047,9
16515,WA,Gig Harbor,98335,47.329291,-122.578979,8
16523,WA,Arlington,98223,48.180175,-122.12563,7
16530,ID,Bellevue,83313,43.471759,-114.26486,2
16532,CA,Atherton,94027,37.458145,-122.194842,3
16535,CA,Los Altos,94024,37.367487,-122.105797,23
16558,CA,Cupertino,95014,37.33754,-122.038164,85
16643,WY,Dubois,82513,43.534538,-109.639602,1
16644,UT,Park City,84098,40.724041,-111.546222,17
16661,UT,Coalville,84017,40.918173,-111.399073,3
16664,CO,Ridgway,81432,38.1525284247078,-107.7551088465576,4
16668,CO,Thornton,80233,39.883636,-104.979943,14
16682,UT,Cedar City,84721,37.730896,-113.054399,10
16692,UT,Santaquin,84655,39.976316,-111.769044,2
16694,CO,Niwot,80503,40.102895,-105.145042,1
16695,CA,Signal Hill,90755,33.802309,-118.168307,4
16699,CO,Louisville,80027,39.95818,-105.17159,20
16719,CA,Rocklin,95677,38.799779,-121.204591,13
16732,UT,Farmington,84025,40.983532,-111.905488,4
16736,WA,Friday Harbor,98250,48.536489,-123.021351,7
16743,WA,Eastsound,98245,48.692979,-122.904798,2
16745,WA,Olga,98279,48.641279,-122.781015,1
16746,WA,Lopez,98261,48.521863,-122.909571,2
16748,WA,Spanaway,98445,47.097774,-122.40071,2
16750,OR,Christmas Valley,97641,43.237312,-120.690638,1
16751,CA,Agoura Hills,91301,34.148198,-118.762487,17
16768,CA,Arcata,95521,40.901079,-124.084301,14
16782,CA,Barstow,92311,34.85571,-117.082191,15
16797,CA,Canoga Park,91303,34.191637,-118.597035,11
16808,CA,Emeryville,94608,37.845051,-122.292424,20
16828,CA,Inglewood,90303,33.947477,-118.339828,40
16868,CA,Kentfield,94904,37.952331,-122.54915,13
16881,CA,La Palma,90623,33.859752,-118.039334,4
16885,CA,Milpitas,95035,37.445272,-121.919803,71
16956,CA,Playa Vista,90094,33.979327,-118.406543,4
16960,CA,Vernon,90058,34.005461,-118.22871,3
16963,NV,Hawthorne,89415,38.53246,-118.625076,3
16966,CA,East Los Angeles,90022,34.033838,-118.152742,1
16967,CO,Boone,81025,38.434404,-104.285437,2
16969,CA,San Anselmo,94960,37.977309,-122.553439,6
16975,OR,Gresham,97080,45.494909,-122.404711,6
16981,AZ,Glendale,85310,33.711116,-112.201538,20
17001,CA,Carlsbad,92008,33.131337,-117.309163,51
17052,OR,Tualatin,97062,45.381549,-122.756283,4
17056,WA,Silverdale,98383,47.65265,-122.695072,24
17080,AZ,Apache Junction,85119,33.424795,-111.544448,2
17082,WA,Mt. Vernon,98273,48.436423,-122.3088327,3
17085,AZ,Cave Creek,85331,33.752384,-111.9907679,2
17087,CA,East Palo Alto,94303,37.46038,-122.14228,2
17089,WA,Tukwila,98188,47.44897,-122.25331,12
17101,OR,PORTLAND,97215,45.512037,-122.618159,1
17102,AZ,Paradise Valley,85253,33.54093,-111.935054,2
17104,WA,Sumner,98390,47.203981,-122.237313,1
17105,CA,Oakley,94561,38.005536,-121.751895,1
17106,WA,Shoreline,98177,47.769184,-122.37546,5
17111,CA,San Ramon,94583,37.724427,-121.94313,34
17145,OR,Forest Grove,97116,45.520381,-123.113039,5
17150,CA,Solana Beach,92075,32.983422,-117.270627,10
17160,CA,Granada Hills,91344,34.265556,-118.524472,5
17165,OR,Happy Valley,97086,45.459184,-122.581079,11
17176,CA,San Juan Bautista,95045,36.844726,-121.5395,1
17177,CO,Broomfield,80021,39.906012,-105.092727,21
17198,OR,Falls City,97344,44.865414,-123.434127,1
17199,CA,Pleasant Hill,94523,37.95348,-122.059919,18
17217,CA,Brentwood,94513,37.92569,-121.736456,32
17249,WA,Belfair,98528,47.451373,-122.826865,1
17250,WA,REDMOND,98052,47.670707,-122.103973,1
17251,WA,Maple Valley,98038,47.362455,-122.017988,1
17252,CA,Burbank,91502,34.174558,-118.303142,70
17322,AZ,Oro Valley,85737,32.40833,-110.994504,2
17324,CA,Los Banos,93635,37.058477,-120.895492,6
17330,WA,Covington,98042,47.359935,-122.103668,4
17334,WA,Des Moines,98198,47.389484,-122.301609,5
17339,OR,Molalla,97038,45.145345,-122.566024,1
17340,CA,San Mateo,94402,37.554604,-122.30747,74
17414,OR,Wood Village,97060,45.530047,-122.427359,2
17416,UT,Tooele,84074,40.647105,-112.289167,2
17418,WA,Oroville,98844,48.938283,-119.436456,2
17420,WA,Soap Lake,98851,47.39125,-119.483647,1
17421,WA,Manson,98831,47.883847,-120.154608,3
17424,CA,Loma Linda,92357,34.050282,-117.252416,11
17435,NV,Sugar Bunker,89023,36.885503,-116.033391,1
17436,MT,Fort Smith,59035,45.31091,-107.935926,1
17437,CA,San Clemente,92672,33.3864,-117.5805,19
17456,UT,Wellsville,84339,41.644053,-111.913022,2
17458,CA,azusa,91702,34.127418,-117.890362,1
17459,CA,Moreno,92555,33.934533,-117.180407,1
17460,CA,Diamond Bar,91765,34.001271,-117.8289,13
17473,WA,SPOKANE,99204,47.649276,-117.411477,2
17475,WA,Clarkston,99403,46.425498,-117.04865,1
17476,WA,Rosalia,99170,47.234673,-117.370063,1
17477,NM,Albertville,55301,45.244023,-93.662775,1
17478,WA,Liberty Lake,99019,47.671569,-117.102884,6
17484,CA,North Hollywood,91606,34.18884,-118.387653,25
17509,CA,Winnetka,91306,34.220066,-118.573028,1
17510,CA,Tarzana,91356,34.166729,-118.530084,6
17516,CA,Venice,90291,33.985498,-118.469336,11
17527,CA,North Hills,91343,34.234966,-118.487435,3
17530,CA,Westwood,90024,34.061656,-118.446408,1
17531,CA,LA,90004,34.07527,-118.323399,1
17532,WA,Deer Park,99006,47.943785,-117.477441,1
17533,CA,Whittier,90601,34.033257,-118.020892,18
17551,WA,Ellensburg,98926,46.994236,-120.549197,4
17555,UT,Farr West,84404,41.307063,-112.0248,1
17556,WA,Ocean Shores,98569,47.042642,-124.170682,2
17558,NM,Prewitt,87045,35.301694,-108.107741,1
17559,CA,Atascadero,93422,35.486347,-120.666102,3
17562,CA,Fish Camp,93623,37.473005,-119.636116,2
17564,NM,Cloudcroft,88317,32.958821,-105.744106,1
17565,UT,Vernal,84078,40.455916,-109.52307,1
17566,CA,Rialto,92376,34.106957,-117.382616,5
17571,CO,Fraser,80442,39.927843,-105.789359,2
17573,NM,Aztec,87410,36.824393,-107.997055,1
17574,WA,Mountlake Terrace,98043,47.798901,-122.3025,2
17576,AZ,Buckeye,85326,33.443,-112.5569,3
17579,AZ,Casa Grande,85194,32.8788,-111.6817,3
17582,AZ,Kingman,86401,35.1913,-114.0656,4
17586,AZ,Mayer,86333,34.3275,-112.1185,1
17587,AZ,Page,86040,36.9249,-111.468,2
17589,AZ,Quartzsite,85346,33.6608,-114.2418,2
17591,AZ,Willcox,85643,32.2701,-109.846,1
17592,CA,Baker,92309,35.2627,-116.0807,10
17602,CA,Buellton,93427,34.6146,-120.1884,4
17606,CA,Buttonwillow,93206,35.4001,-119.3978,5
17611,CA,Cabazon,92230,33.9313,-116.8201,13
17624,CA,Corning,96021,39.9265,-122.1984,2
17626,CA,Crescent City,95531,41.7524,-124.1944,6
17632,CA,El Centro,92243,32.7608,-115.5325,5
17637,CA,Fountain Valley,92708,33.7028,-117.9343,10
17647,CA,Groveland,95321,37.8387,-120.232,9
17656,CA,Hawthorne,90250,33.9211,-118.3301,14
17670,CA,Indio,92203,33.7413,-116.215,18
17688,CA,Inyokern,93527,35.6465,-117.8126,4
17692,CA,Kettleman City,93239,35.9873,-119.9618,2
17694,CA,Lake Elsinore,92530,33.6986,-117.3487,6
17700,CA,Lebec,93243,34.9874,-118.9463,8
17708,CA,Lone Pine,93545,36.6006,-118.0619,1
17709,CA,Mammoth Lakes,93546,37.6445,-118.9655,5
17714,CA,Manteca,95337,37.7826,-121.2287,7
17721,CA,Monterey,93940,36.5857,-121.8987,29
17750,CA,Mount Shasta,96067,41.3103,-122.3159,4
17754,CA,Mt. Shasta,96067,41.3102,-122.3173,2
17756,CA,Needles,92363,34.8508,-114.6243,2
17758,CA,Twentynine Palms,92277,34.1205,-116.051,2
17760,CA,Yermo,92398,34.9073,-116.8355,5
17765,CO,Limon,80828,39.269,-103.7086,1
17766,CO,Lone Tree,80124,39.5627,-104.8735,10
17776,CO,Silverthorne,80498,39.6315,-106.0708,3
17779,CO,Trinidad,81082,37.1342,-104.5194,4
17783,ID,Twin Falls,83301,42.5979,-114.4552,3
17786,MT,Big Timber,59011,45.8363,-109.9434,1
17787,MT,Butte,59701,45.9812,-112.5072,2
17789,MT,Superior,59872,47.1921,-114.8889,1
17790,MT,Lima,59739,44.6325,-112.5917,1
17791,MT,West Yellowstone,59758,44.6561,-111.099,3
17794,NM,Farmington,87402,36.7663,-108.1443,6
17800,NM,Gallup,87301,35.5053,-108.8281,2
17802,NM,Las Vegas,87701,35.622,-105.2054,1
17803,NM,Santa Rosa,88435,34.947,-104.648,2
17805,NM,Truth or Consequences,87901,33.1552,-107.2516,1
17806,NM,Tucumcari,88401,35.154,-103.7226,3
17809,NV,Elko,89801,40.8363,-115.7909,4
17813,NV,Lovelock,89419,40.1795,-118.4721,1
17814,NV,Primm,89019,35.6107,-115.388,1
17815,NV,Tonopah,89049,38.0698,-117.2322,3
17818,NV,West Wendover,89883,40.7384,-114.059,3
17821,NV,Winnemucca,89445,40.9589,-117.7465,4
17825,OR,Baker City,97814,44.7829,-117.8123,1
17826,OR,Klamath Falls,97603,42.2169,-121.7564,8
17834,OR,Pendleton,97801,45.6466,-118.682,3
17837,UT,Beaver,84713,38.2491,-112.6525,2
17839,UT,Blanding,84511,37.6256,-109.4738,1
17840,UT,Moab,84532,38.5731,-109.5524,11
17851,UT,Nephi,84648,39.6781,-111.841,1
17852,UT,Price,84501,39.6008,-110.8317,5
17857,UT,Richfield,84701,38.788,-112.0852,6
17863,UT,Tremonton,84337,41.71,-112.1986,4
17867,WA,Aberdeen,98520,46.9767,-123.8135,2
17869,WA,Lynnwood,98087,47.8467,-122.2714,24
17893,WA,Ritzville,99169,47.1163,-118.3683,3
17896,WY,Evanston,82930,41.2632,-110.9853,1
17897,WY,Gillette,82716,44.293,-105.5263,1
17898,WY,Laramie,82070,41.3251,-105.6181,1
17899,WY,Lusk,82225,42.7563,-104.4527,1
17900,WY,Rawlins,82301,41.7909,-107.2103,1
17901,WY,Rock Springs,82901,41.5808,-109.2621,3
17904,WY,Sheridan,82801,44.8046,-106.9563,3
17907,WY,Wheatland,82201,42.0725,-104.9627,2
17909,NM,Tres Piedras,87577,36.660923,-105.994795,1
17910,WA,Fort Lewis,98433,47.10579,-122.539,1
17911,UT,West Jordan,84088,40.607416,-111.987165,7
17918,CO,Erie,80516,40.050362,-105.016947,12
17930,AZ,Grand Canyon Village,86023,36.05449,-112.120389,8
17938,AZ,Grand Canyon,86023,36.054079,-112.142343,3
17941,WA,pasco,99301,46.242178,-119.124215,1
17942,NV,Boulder City,89005,35.788775,-114.992726,2
17944,WA,Everson,98247,48.893943,-122.280461,1
17945,UT,Holladay,84117,40.668016,-111.840429,1
17946,OR,Burns,97720,43.589715,-119.055007,2
17948,WA,Copalis Crossing,98356,47.195359,-124.196082,1
17949,WA,Moclips,98562,47.24044,-124.216904,2
17951,MT,Saltese,59867,47.38642,-115.399157,1
17952,OR,Amity,97101,45.115791,-123.206977,2
17954,OR,La Grande,97850,45.326761,-118.091312,1
17955,OR,Talent,97540,42.245028,-122.790141,1
17956,CA,Valley Center,92082,33.2674604,-116.9556753,5
17961,CO,Gunnison,81230,38.525522,-106.967789,4
17965,CA,Hermosa Beach,90254,33.872054,-118.394586,7
17972,CA,Los Gatos,95032,37.229971,-121.979377,20
17992,CA,Daly City,94015,37.674,-122.472,11
18003,CA,Pacific Palisades,90272,34.04590171153875,-118.5648429100341,6
18009,OR,Mitchell,97750,44.566585,-120.155408,2
18011,MT,Bigfork,59911,48.00563889,-114.05583333,1
18012,CO,Almont,81210,38.664867,-106.847254,1
18013,CO,Mancos,81328,37.345501,-108.288263,1
18014,OR,Troutdale,97060,45.520048,-122.406379,5
18019,WA,Rochester,98579,46.798453,-123.0123,1
18020,CO,Telluride,81435,37.947213,-107.873351,3
18023,OR,Oakridge,97463,43.746765,-122.490567,1
18024,WA,Colville,99114,48.543915,-117.904797,2
18026,CO,Castle Rock,80109,39.379646,-104.874726,6
18032,CO,Pueblo West,81007,38.324776,-104.741432,5
18037,CA,Castroville,95012,36.81702,-121.73011,3
18040,OR,Junction City,97448,44.214122,-123.205072,2
18042,AZ,Bisbee,85603,31.441501,-109.918035,1
18043,AZ,Carefree,85377,33.806537,-111.925797,2
18045,AZ,Cottonwood,86326,34.722786,-112.00627,1
18046,AZ,Globe,85501,33.387249,-110.760309,1
18047,AZ,Litchfield Park,85340,33.495483,-112.356018,5
18052,AZ,Parker,85344,34.263518,-114.129245,3
18055,AZ,Payson,85541,34.251069,-111.321752,2
18057,AZ,Pinetop,85935,34.13494,-109.948953,1
18058,AZ,Sedona,86336,34.869404,-111.758273,21
18079,AZ,Snowflake,85937,34.511671,-110.07857,1
18080,AZ,Tombstone,85638,31.723096,-110.073859,1
18081,AZ,Tuba City,86045,36.1189,-111.227844,1
18082,AZ,Winslow,86047,35.021396,-110.695076,2
18084,CA,Acampo,95220,38.207473,-121.297337,3
18087,CA,Acton,93510,34.501106,-118.118778,1
18088,CA,Ahwahnee,93601,37.364482,-119.702683,1
18089,CA,Alpine,91901,32.839399,-116.777226,2
18091,CA,Alturas,96101,41.48252,-120.542265,2
18093,CA,Angwin,94508,38.561453,-122.446448,1
18094,CA,Aptos,95003,36.950559,-121.87709,8
18102,CA,Arroyo Grande,93420,35.157345,-120.535862,6
18108,CA,Avila Beach,93424,35.18009,-120.735495,2
18110,CA,Beverly Hills,90212,34.066123,-118.409116,61
18171,CA,Big Sur,93920,36.231298,-121.770453,5
18176,CA,Bridgeport,93517,38.187779,-119.206381,2
18178,CA,Calistoga,94515,38.578056,-122.577655,21
18199,CA,Cambria,93428,35.559694,-121.080446,6
18205,CA,Carmel,93923,36.519746,-121.806639,6
18211,CA,Carmel by the Sea,93921,36.559153,-121.922482,1
18212,CA,Carmel Valley,93924,36.478332,-121.730362,1
18213,CA,Carmel-By-The-Sea,93921,36.554085,-121.920932,1
18214,CA,Carpinteria,93013,34.392221,-119.509709,5
18219,CA,Cayucos,93430,35.449166,-120.905677,2
18221,CA,Chino Hills,91709,33.978596,-117.700634,7
18228,CA,Clearlake Oaks,95423,39.029607,-122.582891,1
18229,CA,Coarsegold,93614,37.2618,-119.7005,1
18230,CA,Corona del Mar,92625,33.593691,-117.867538,1
18231,CA,Creston,93432,35.510851,-120.488018,1
18232,CA,Dana Point,92629,33.483048,-117.715296,3
18235,CA,Deer Park,94576,38.560079,-122.477148,1
18236,CA,Del Mar,92014,32.960065,-117.265995,8
18244,CA,Desert Hot Springs,92240,33.955693,-116.482451,2
18246,CA,Downieville,95936,39.559661,-120.828154,1
18247,CA,Dunsmuir,96025,41.198543,-122.276779,3
18250,CA,Forestville,95436,38.489318,-122.883695,1
18251,CA,Fortuna,95540,40.578828,-124.153129,7
18258,CA,Fulton,95439,38.503061,-122.770196,3
18261,CA,Geyserville,95441,38.718347,-122.894179,8
18269,CA,Glen Ellen,95442,38.366705,-122.528768,4
18273,CA,Graeagle,96103,39.723116,-120.662982,2
18275,CA,Grass Valley,95945,39.220862,-121.062901,7
18282,CA,Guerneville,95446,38.4996,-122.989094,3
18285,CA,Half Moon Bay,94019,37.434877,-122.441135,8
18293,CA,Hawaiian Gardens,90716,33.83256,-118.079004,2
18295,CA,Highland,92346,34.150481,-117.229147,29
18324,CA,Hope Valley,96120,38.770986,-119.902266,2
18326,CA,Hopland,95449,38.967412,-123.114542,2
18328,CA,Idyllwild,92549,33.756093,-116.699764,1
18329,CA,Inverness,94937,38.107136,-122.862521,1
18330,CA,Jamestown,95327,37.92922,-120.451832,2
18332,CA,Julian,92036,33.080217,-116.60202,1
18333,CA,Kenwood,95452,38.428301,-122.554771,1
18334,CA,Kirkwood,95646,38.68471,-120.065176,1
18335,CA,La Mesa,91943,32.779659,-116.991648,8
18343,CA,Laguna Beach,92651,33.53032,-117.77372,12
18355,CA,Laguna Woods,92637,33.610487,-117.729669,8
18363,CA,Lake Arrowhead,92352,34.250959,-117.192334,1
18364,CA,Lake City,96115,41.741817,-120.194346,1
18365,CA,Lewiston,96052,40.708435,-122.806317,1
18366,CA,Lockeford,95237,38.165588,-121.151878,1
18367,CA,Lompoc,93436,34.634794,-120.296983,5
18372,CA,Los Alamos,93440,34.743568,-120.276817,3
18375,CA,Marina del Rey,90292,33.98174,-118.459902,14
18389,CA,Mariposa,95338,37.486577,-119.961303,1
18390,CA,Middletown,95461,38.732702,-122.62457,2
18392,CA,Millbrae,94030,37.609606,-122.401441,14
18406,CA,Mission Viejo,92692,33.654407,-117.626635,9
18415,CA,Montecito,93108,34.44698,-119.623604,4
18419,CA,Moreno Valley,92553,33.935642,-117.274447,32
18451,CA,Moss Beach,94038,37.521966,-122.513616,1
18452,CA,Murphys,95247,38.142611,-120.494844,3
18455,CA,Napa Valley,94558,38.344507,-122.326492,1
18456,CA,Newark,94560,37.521425,-121.999528,16
18472,CA,Newport Beach,92660,33.617446,-117.889091,81
18553,CA,Oakville,94562,38.430238,-122.389725,5
18558,CA,Occidental,95465,38.407219,-122.94643,1
18559,CA,Ojai,93023,34.437995,-119.255545,6
18565,CA,Oroville,95966,39.466293,-121.516144,4
18569,CA,Pacific Grove,93950,36.620006,-121.933299,7
18576,CA,Pebble Beach,93953,36.568537,-121.950742,2
18578,CA,Rancho Mirage,92270,33.743247,-116.40711,10
18588,CA,Rancho Murieta,95683,38.491637,-121.099523,1
18589,CA,Rancho Santa Fe,92067,32.996541,-117.193444,2
18591,CA,Red Bluff,96080,40.181629,-122.220238,4
18595,CA,Rohnert Park,94928,38.363845,-122.716398,23
18618,CA,Rowland Heights,91748,33.994878,-117.892312,2
18620,CA,Rutherford,94558,38.468311,-122.404909,5
18625,CA,San Ardo,93450,35.97365079786711,-120.9000813082123,1
18626,CA,San Bruno,94066,37.621822,-122.412259,28
18654,CA,San Marcos,92078,33.124599,-117.207571,19
18673,CA,San Martin,95046,37.068092,-121.63246,4
18677,CA,Sausalito,94965,37.837674,-122.479424,4
18681,CA,Sea Ranch,95497,38.68013543552006,-123.4286541825256,1
18682,CA,Seal Beach,90740,33.776791,-118.071752,8
18690,CA,Shingletown,96088,40.511265,-121.812099,1
18691,CA,Sonoma,95476,38.31433,-122.483323,9
18700,CA,St Helena,94574,38.520076,-122.475091,12
18712,CA,Saint Helena,94574,38.467265,-122.353007,7
18719,CA,Susanville,96130,40.406425,-120.631174,2
18721,CA,Tahoe Vista,96148,39.241795,-120.056519,2
18723,CA,Templeton,93465,35.577156,-120.722023,6
18729,CA,Tiburon,94920,37.87524,-122.457576,3
18732,CA,Trinidad,95570,41.058645,-124.142723,2
18734,CA,Tuolumne,95379,37.973467,-120.238494,1
18735,CA,Twain Harte,95383,38.043268,-120.211021,1
18736,CA,Upper Lake,95485,39.165064,-122.910465,1
18737,CA,Willits,95490,39.399684,-123.34894,5
18742,CA,Windsor,95492,38.486825,-122.809057,10
18752,CA,Woodside,94062,37.438177,-122.322931,1
18753,CA,Yorba Linda,92887,33.872461,-117.741086,16
18769,CA,Yountville,94599,38.400273,-122.359225,7
18776,CO,Alma,80420,39.270164,-106.046842,1
18777,CO,Beaver Creek,81620,39.604956,-106.515175,2
18779,CO,Black Hawk,80422,39.799761,-105.508875,2
18781,CO,Crested Butte,81225,38.901088,-106.967653,7
18788,CO,Cripple Creek,80813,38.75132,-105.173238,4
18792,CO,Dolores,81323,37.77261371362761,-108.0936762209015,2
18794,CO,Evergreen,80439,39.635288,-105.31382,2
18796,CO,Gateway,81522,38.674915,-108.977768,1
18797,CO,Hesperus,81326,37.213179,-108.074355,1
18798,CO,Manitou Springs,80829,38.857239,-104.911381,2
18800,CO,Mesa,81643,39.06937929836109,-108.1507185178604,1
18801,CO,Mesa Verde National Park,81330,37.25880697284591,-108.4927699067459,1
18802,CO,Monarch,81227,38.512438,-106.331989,1
18803,CO,Mountain Village,81435,37.933212,-107.851551,4
18807,CO,Nathrop,81236,38.7319,-106.16005,1
18808,CO,Ouray,81427,38.026629,-107.670967,1
18809,CO,Silverton,81433,37.807181,-107.668496,1
18810,CO,Sterling,80751,40.474281,-104.891558,1
18811,CO,Stratton,80836,39.2972,-102.606857,1
18812,CO,Tabernash,80478,39.968647,-105.784503,2
18814,ID,Ashton,83420,44.071705,-111.448094,1
18815,ID,Bonners Ferry,83805,48.645277,-116.308827,2
18817,ID,Burley,83318,42.56448274816324,-113.7942161243591,2
18819,ID,Dover,83825,48.247812,-116.604339,1
18820,ID,Driggs,83422,43.747162,-111.111474,1
18821,ID,Grangeville,83530,45.925484,-116.128512,1
18822,ID,Post Falls,83854,47.704316,-116.943967,1
18823,ID,Salmon,83467,45.178723,-113.898332,1
18824,ID,Sandpoint,83864,48.274902,-116.544189,2
18826,ID,Sun Valley,83353,43.695009,-114.354334,2
18828,MT,Great Falls,59404,47.512057,-111.315947,5
18833,MT,Greenough,59823,46.916933,-113.434975,1
18834,MT,Lake McDonald,59921,48.617286,-113.878909,1
18835,MT,Philipsburg,59858,46.265012,-113.508283,1
18836,MT,Red Lodge,59068,45.190425,-109.247648,2
18838,MT,Whitefish,59937,48.431252,-114.341872,3
18841,NM,El Prado,87529,36.465277,-105.660795,1
18842,NM,Rodeo,88056,31.870339,-109.034849,1
18843,NM,Ruidoso,88345,33.331214,-105.676957,2
18845,NM,Socorro,87801,34.071478,-106.893159,1
18846,NV,McCarran,89434,39.551646,-119.490177,2
18848,NV,Mesquite,89027,36.817896,-114.064068,3
18851,NV,Minden,89423,38.953562,-119.763686,3
18854,NV,Virginia City,89440,39.292416,-119.65753,2
18856,NV,Zephyr Cove,89448,38.983915,-119.943181,1
18857,OR,Crater Lake,97604,42.867509,-122.167297,1
18858,OR,Dayton,97114,45.24117,-123.069729,5
18863,OR,Depoe Bay,97341,44.786899,-124.070605,1
18864,OR,Estacada,97023,45.286178,-122.334465,2
18866,OR,Fort Klamath,97626,42.684216,-121.973428,2
18868,OR,Gleneden Beach,97388,44.892644,-124.019417,1
18869,OR,John Day,97845,44.416613,-118.954696,2
18871,OR,Joseph,97846,45.348876,-117.229797,1
18872,OR,Oceanside,97134,45.459395,-123.969124,1
18873,OR,Prairie City,97869,44.463124,-118.70919,1
18874,OR,Silverton,97381,44.990695,-122.788286,1
18875,OR,Sutherlin,97479,43.387853,-123.334704,2
18877,OR,Waldport,97394,44.425109,-124.068388,2
18879,OR,Yamhill,97148,45.343067,-123.126059,1
18880,UT,Brian Head,84719,37.699676,-112.859124,1
18881,UT,Canyon Point,84741,37.034252,-111.612273,1
18882,UT,Escalante,84726,37.771301,-111.609186,2
18884,UT,Ivins,84738,37.184688,-113.706734,1
18885,UT,Kanab,84741,37.050397,-112.53438,12
18897,UT,La Verkin,84745,37.211065,-113.268781,2
18899,UT,Ogden,84414,41.30532,-111.965417,33
18932,UT,Provo,84601,40.235112,-111.660711,17
18949,UT,Snowbird,84092,40.582857,-111.651537,1
18950,UT,St George,84770,37.088925,-113.584407,3
18953,UT,Saint George,84770,37.156948,-113.63848,2
18955,UT,Torrey,84775,38.299236,-111.400314,1
18956,UT,Tropic,84776,37.62506,-112.081594,1
18957,WA,Benton City,99320,46.293791,-119.451533,1
18958,WA,Carson,98610,45.729351,-121.821302,1
18959,WA,Cathlamet,98612,46.20249,-123.3842,2
18961,WA,Forks,98331,47.915109,-124.544883,4
18965,WA,Freeland,98249,48.010776,-122.533294,2
18967,WA,Langley,98260,48.039217,-122.406285,3
18970,WA,Moses Lake,98837,47.103231,-119.251047,5
18975,WA,Mossyrock,98564,46.544781,-122.510619,1
18976,WA,Neah Bay,98357,48.34003708134721,-124.6635397632294,2
