State,Zipcode,Population,Number of Households,Household Income,Poverty Count,Poverty Rate,Total Commute Time,Average Commute Time,Total Vehicles,Average Vehicles per Household
72,00601,17113.0,5509.0,14361.0,10552.0,61.660725764039036,3504.0,0.636050099836631,3115.0,0.565438373570521
72,00602,37751.0,12740.0,16807.0,18653.0,49.41061163942677,10525.0,0.826138147566719,8645.0,0.6785714285714286
72,00603,47081.0,19228.0,16049.0,23691.0,50.319661859348784,11479.0,0.596993967131267,10460.0,0.5439983357603495
72,00606,6392.0,1946.0,12119.0,4185.0,65.47246558197747,1228.0,0.6310380267214799,1085.0,0.5575539568345323
72,00610,26686.0,8795.0,19898.0,12204.0,45.73184441280072,8065.0,0.9169982944855031,6800.0,0.7731665719158612
72,00612,59369.0,22809.0,18741.0,27631.0,46.54112415570415,14665.0,0.6429479591389364,13595.0,0.5960366521986935
72,00616,10022.0,3449.0,17007.0,4825.0,48.1440830173618,2923.0,0.8474920266743984,2790.0,0.8089301246738185
72,00617,23750.0,7910.0,16984.0,11392.0,47.96631578947368,6001.0,0.7586599241466498,5600.0,0.7079646017699115
72,00622,6741.0,2067.0,14615.0,3255.0,48.28660436137071,1385.0,0.6700532172230286,1385.0,0.6700532172230286
72,00623,41746.0,13406.0,17130.0,21413.0,51.29353710535141,10428.0,0.777860659406236,9960.0,0.742950917499627
72,00624,21936.0,7411.0,16701.0,12337.0,56.240882567469,5455.0,0.7360680070165969,4845.0,0.6537579274052084
72,00627,31598.0,11394.0,17000.0,15741.0,49.81644407873916,8539.0,0.7494295243110409,8115.0,0.7122169562927857
72,00631,1499.0,629.0,10244.0,1054.0,70.31354236157438,343.0,0.5453100158982512,345.0,0.548489666136725
72,00637,22383.0,7033.0,17405.0,10251.0,45.79815038198633,6105.0,0.8680506185127257,5455.0,0.7756291767382341
72,00638,16412.0,5899.0,16843.0,8927.0,54.393126980258344,3508.0,0.5946770639091371,3110.0,0.5272080013561621
72,00641,26712.0,8945.0,15792.0,13881.0,51.965408805031444,5429.0,0.6069312465064282,4975.0,0.5561766349916154
72,00646,37095.0,11652.0,30573.0,12268.0,33.07184256638361,11594.0,0.9950223137658771,10075.0,0.8646584277377274
72,00647,5809.0,1919.0,14223.0,3551.0,61.12928214839043,1125.0,0.5862428348097968,1100.0,0.5732152162584679
72,00650,14534.0,5136.0,19764.0,7562.0,52.029723407183155,3912.0,0.7616822429906542,3480.0,0.677570093457944
72,00652,3565.0,1319.0,21987.0,1452.0,40.72931276297335,923.0,0.6997725549658832,830.0,0.6292645943896892
72,00653,10484.0,3596.0,12072.0,6766.0,64.536436474628,1998.0,0.5556173526140156,1885.0,0.5241935483870968
72,00656,18485.0,6502.0,17355.0,10110.0,54.69299431971869,4708.0,0.7240848969547832,4420.0,0.6797908335896647
72,00659,39950.0,14160.0,17715.0,18072.0,45.23654568210263,12022.0,0.8490112994350283,11710.0,0.8269774011299436
72,00660,15943.0,6255.0,19030.0,6937.0,43.511258859687636,4788.0,0.7654676258992805,4455.0,0.7122302158273381
72,00662,39700.0,13849.0,16834.0,21975.0,55.35264483627204,9688.0,0.6995450935085565,8935.0,0.6451729366741281
72,00664,14693.0,4878.0,14595.0,8848.0,60.219151977131965,3099.0,0.6353013530135302,2740.0,0.5617056170561706
72,00667,23186.0,7781.0,14013.0,14494.0,62.51186060553783,4604.0,0.5916977252281198,4385.0,0.563552242642334
72,00669,24803.0,9597.0,16922.0,13510.0,54.46921743337499,6276.0,0.6539543607377305,6080.0,0.6335313118682921
72,00670,8364.0,2680.0,14245.0,4167.0,49.820659971305595,2133.0,0.7958955223880597,1920.0,0.7164179104477612
72,00674,38971.0,14858.0,18299.0,18333.0,47.04267275666521,10594.0,0.7130165567371113,9780.0,0.6582312558890834
72,00676,36299.0,13425.0,14992.0,19599.0,53.99322295380038,9031.0,0.6727001862197393,8535.0,0.6357541899441341
