State ID,Zipcode,Population,Number of Households,Household Income,Poverty Count,Poverty Rate,Total Commute Time,Average Commute Time,Total Vehicles,Average Vehicles per Household,State
30,59063,1985.0,759.0,76148.0,93.0,4.685138539042821,967.0,1.2740447957839263,865.0,1.13965744400527,MT
30,59064,246.0,85.0,-666666666.0,0.0,0.0,93.0,1.0941176470588236,,,MT
30,59065,169.0,90.0,-666666666.0,12.0,7.100591715976331,61.0,0.6777777777777778,,,MT
30,59066,576.0,162.0,42917.0,157.0,27.256944444444443,187.0,1.154320987654321,155.0,0.9567901234567902,MT
30,59067,254.0,103.0,53750.0,31.0,12.204724409448819,95.0,0.9223300970873787,85.0,0.8252427184466019,MT
30,59068,3355.0,1654.0,48821.0,345.0,10.283159463487332,1551.0,0.937726723095526,1150.0,0.6952841596130592,MT
30,59069,580.0,235.0,42750.0,102.0,17.586206896551722,221.0,0.9404255319148936,145.0,0.6170212765957447,MT
30,59070,1033.0,409.0,69279.0,78.0,7.55082284607938,436.0,1.0660146699266504,380.0,0.9290953545232273,MT
30,59071,167.0,54.0,83289.0,0.0,0.0,54.0,1.0,30.0,0.5555555555555556,MT
30,59072,4328.0,1969.0,44097.0,550.0,12.707948243992606,1440.0,0.7313357034027425,1230.0,0.6246825799898426,MT
30,59074,331.0,175.0,45938.0,51.0,15.407854984894259,110.0,0.6285714285714286,90.0,0.5142857142857142,MT
30,59075,229.0,84.0,-666666666.0,47.0,20.524017467248907,81.0,0.9642857142857143,65.0,0.7738095238095238,MT
30,59076,80.0,31.0,60417.0,0.0,0.0,33.0,1.064516129032258,30.0,0.967741935483871,MT
30,59077,91.0,24.0,78750.0,0.0,0.0,20.0,0.8333333333333334,,,MT
30,59078,168.0,80.0,36071.0,25.0,14.880952380952381,47.0,0.5875,40.0,0.5,MT
30,59079,3707.0,1331.0,77879.0,225.0,6.069598057728622,1735.0,1.3035311795642375,1640.0,1.2321562734785876,MT
30,59081,24.0,9.0,173750.0,0.0,0.0,10.0,1.1111111111111112,,,MT
30,59082,19.0,9.0,40625.0,4.0,21.05263157894737,13.0,1.4444444444444444,,,MT
30,59085,130.0,52.0,22167.0,16.0,12.307692307692308,45.0,0.8653846153846154,,,MT
30,59086,914.0,430.0,56563.0,122.0,13.347921225382931,333.0,0.7744186046511627,305.0,0.7093023255813954,MT
30,59087,391.0,179.0,48750.0,28.0,7.161125319693094,121.0,0.6759776536312849,85.0,0.4748603351955307,MT
30,59088,1536.0,641.0,56435.0,388.0,25.260416666666668,654.0,1.0202808112324493,575.0,0.8970358814352574,MT
30,59089,471.0,138.0,47250.0,107.0,22.717622080679405,172.0,1.2463768115942029,150.0,1.0869565217391304,MT
30,59101,41409.0,17263.0,49514.0,5407.0,13.05754787606559,20084.0,1.163413079997683,17595.0,1.0192318832184442,MT
30,59102,46611.0,20748.0,59569.0,5015.0,10.759262834953123,22828.0,1.100250626566416,20585.0,0.9921438210911895,MT
30,59105,30943.0,12313.0,67883.0,1972.0,6.373008434864105,15362.0,1.2476244619507837,14405.0,1.1699017298789898,MT
30,59106,18281.0,7303.0,79499.0,774.0,4.233904053388764,8631.0,1.1818430781870464,7930.0,1.085855128029577,MT
30,59201,5838.0,1546.0,42679.0,1642.0,28.126070572113736,1806.0,1.168175937904269,1520.0,0.9831824062095731,MT
30,59211,129.0,44.0,69500.0,7.0,5.426356589147287,46.0,1.0454545454545454,40.0,0.9090909090909091,MT
30,59212,536.0,166.0,73438.0,34.0,6.343283582089552,223.0,1.3433734939759037,185.0,1.1144578313253013,MT
30,59213,814.0,213.0,29063.0,293.0,35.995085995085994,236.0,1.107981220657277,195.0,0.9154929577464789,MT
30,59214,90.0,54.0,-666666666.0,24.0,26.666666666666668,13.0,0.24074074074074073,15.0,0.2777777777777778,MT
30,59215,985.0,466.0,48966.0,71.0,7.208121827411167,389.0,0.8347639484978541,300.0,0.6437768240343348,MT
30,59217,153.0,63.0,102589.0,15.0,9.803921568627452,110.0,1.746031746031746,100.0,1.5873015873015872,MT
30,59218,893.0,336.0,64583.0,104.0,11.646136618141098,413.0,1.2291666666666667,350.0,1.0416666666666667,MT
30,59219,293.0,101.0,40938.0,86.0,29.351535836177476,73.0,0.7227722772277227,65.0,0.6435643564356436,MT
30,59221,1870.0,672.0,68871.0,90.0,4.81283422459893,764.0,1.1369047619047619,710.0,1.056547619047619,MT
30,59222,175.0,96.0,97635.0,21.0,12.0,36.0,0.375,30.0,0.3125,MT
30,59223,382.0,200.0,77391.0,0.0,0.0,122.0,0.61,110.0,0.55,MT
30,59225,550.0,167.0,30625.0,168.0,30.545454545454547,158.0,0.9461077844311377,100.0,0.5988023952095808,MT
30,59226,492.0,184.0,59500.0,32.0,6.504065040650406,230.0,1.25,185.0,1.0054347826086956,MT
30,59230,4484.0,2004.0,56613.0,318.0,7.091882247992864,2181.0,1.0883233532934131,1890.0,0.9431137724550899,MT
30,59231,470.0,232.0,33750.0,115.0,24.46808510638298,216.0,0.9310344827586207,180.0,0.7758620689655172,MT
30,59240,34.0,14.0,48750.0,0.0,0.0,19.0,1.3571428571428572,,,MT
30,59241,375.0,188.0,45000.0,62.0,16.533333333333335,174.0,0.925531914893617,145.0,0.7712765957446809,MT
30,59242,84.0,35.0,-666666666.0,2.0,2.380952380952381,27.0,0.7714285714285715,,,MT
30,59243,230.0,95.0,53194.0,16.0,6.956521739130435,89.0,0.9368421052631579,55.0,0.5789473684210527,MT
30,59244,23.0,9.0,-666666666.0,9.0,39.130434782608695,13.0,1.4444444444444444,15.0,1.6666666666666667,MT
30,59247,314.0,172.0,55000.0,17.0,5.414012738853503,168.0,0.9767441860465116,125.0,0.7267441860465116,MT
30,59248,690.0,337.0,47583.0,66.0,9.565217391304348,244.0,0.7240356083086054,205.0,0.6083086053412463,MT
30,59250,188.0,120.0,49722.0,28.0,14.893617021276595,56.0,0.4666666666666667,40.0,0.3333333333333333,MT
30,59252,88.0,30.0,68000.0,2.0,2.272727272727273,37.0,1.2333333333333334,35.0,1.1666666666666667,MT
30,59253,78.0,30.0,56833.0,0.0,0.0,27.0,0.9,,,MT
30,59254,2032.0,981.0,51477.0,160.0,7.874015748031496,965.0,0.9836901121304791,845.0,0.8613659531090724,MT
30,59255,3247.0,908.0,32024.0,1046.0,32.2143517092701,911.0,1.0033039647577093,700.0,0.7709251101321586,MT
30,59256,26.0,21.0,-666666666.0,15.0,57.69230769230769,5.0,0.23809523809523808,,,MT
30,59257,50.0,35.0,56458.0,8.0,16.0,17.0,0.4857142857142857,,,MT
30,59258,91.0,54.0,48750.0,11.0,12.087912087912088,41.0,0.7592592592592593,40.0,0.7407407407407407,MT
30,59259,303.0,150.0,57000.0,35.0,11.551155115511552,135.0,0.9,110.0,0.7333333333333333,MT
30,59260,139.0,54.0,75278.0,9.0,6.474820143884892,56.0,1.037037037037037,30.0,0.5555555555555556,MT
30,59261,586.0,259.0,46736.0,124.0,21.160409556313994,242.0,0.9343629343629344,205.0,0.7915057915057915,MT
30,59262,636.0,238.0,68000.0,61.0,9.59119496855346,277.0,1.1638655462184875,195.0,0.819327731092437,MT
30,59263,1445.0,714.0,56667.0,61.0,4.221453287197232,676.0,0.9467787114845938,575.0,0.8053221288515406,MT
30,59270,8771.0,3582.0,65476.0,462.0,5.267358339984038,4692.0,1.3098827470686767,4165.0,1.1627582356225572,MT
30,59274,281.0,105.0,50179.0,7.0,2.491103202846975,106.0,1.0095238095238095,90.0,0.8571428571428571,MT
30,59275,439.0,198.0,58790.0,50.0,11.389521640091116,192.0,0.9696969696969697,160.0,0.8080808080808081,MT
30,59276,22.0,11.0,-666666666.0,0.0,0.0,0.0,0.0,-666666666.0,-60606060.54545455,MT
30,59301,11408.0,4795.0,52704.0,1281.0,11.228962131837307,5597.0,1.16725755995829,4865.0,1.0145985401459854,MT
30,59311,162.0,89.0,48750.0,15.0,9.25925925925926,60.0,0.6741573033707865,35.0,0.39325842696629215,MT
30,59312,30.0,12.0,39167.0,4.0,13.333333333333334,0.0,0.0,-666666666.0,-55555555.5,MT
30,59313,2322.0,1108.0,68500.0,196.0,8.440999138673558,1172.0,1.0577617328519855,1045.0,0.9431407942238267,MT
