State,city,Zipcode,latitude,longitude
WA,Spokane,99201,47.654998,-117.425025
AZ,Tucson,85748,32.236156,-110.781792
OR,Eugene,97405,44.009797,-123.033213
CA,Goleta,93117,34.44198,-119.829553
OR,Hillsboro,97123,45.522609,-122.988535
OR,Hillsboro,97123,45.520533,-122.978089
WA,Bellevue,98004,47.614744,-122.193162
OR,Portland,97214,45.509326,-122.666392
UT,Salt Lake City,84119,40.74686,-111.876
UT,Salt Lake City,84111,40.759561,-111.883924
WA,Olympia,98506,47.056888,-122.841752
WA,Olympia,98505,47.071917,-122.976675
WA,Tumwater,98501,46.984193,-122.904856
WA,Issaquah,98027,47.545324,-122.0195
WA,Redmond,98052,47.675897,-122.091237
CA,Santa Monica,90401,34.019875,-118.49151
CA,San Francisco,94102,37.784871,-122.408991
CA,San Francisco,94109,37.806798,-122.419488
CA,Santa Monica,90401,34.010528,-118.4898
CO,Commerce City,80022,39.843886,-104.771138
CO,Superior,80027,39.953798,-105.166116
NM,Albuquerque,87102,35.08847,-106.649567
NV,Reno,89511,39.47607,-119.79332
WA,Bothell,98011,47.761878,-122.191915
WA,Redmond,98052,47.679224,-122.12995
WA,Redmond,98052,47.672359,-122.099034
WA,Woodinville,98072,47.734211,-122.147041
CA,Ukiah,95482,39.1458,-123.198497
WA,Auburn,98002,47.338754,-122.221114
WA,Bellingham,98229,48.755607,-122.454132
WA,Bremerton,98312,47.562162,-122.684286
WA,Burien,98148,47.458466,-122.333257
WA,Edmonds,98026,47.778229,-122.344838
WA,Everett,98204,47.90272982,-122.2469884
WA,Olympia,98502,47.031067,-122.930247
WA,Pasco,99301,46.236607,-119.128998
WA,Port Angeles,98362,48.102863,-123.342273
WA,Puyallup,98371,47.207367,-122.294997
WA,Renton,98058,47.448354,-122.2188
WA,Spokane,99218,47.739021,-117.409937
WA,Spokane Valley,99212,47.657264,-117.312518
WA,Tacoma,98409,47.21978,-122.48576
WA,Vancouver,98662,45.648094,-122.597954
WA,Walla Walla,99362,46.047464,-118.353406
OR,Beaverton,97005,45.491783,-122.81107
OR,Bend,97701,44.055213,-121.277279
OR,Corvallis,97330,44.572608,-123.258425
OR,Eugene,97401,44.05902085,-123.0813975
OR,Gladstone,97027,45.378967,-122.603899
OR,McMinnville,97128,45.227394,-123.180863
OR,Medford,97504,42.379969,-122.858192
OR,Portland,97230,45.531759,-122.537403
OR,Salem,97302,44.921582,-123.006236
OR,The Dalles,97058,45.613979,-121.20996
OR,Wilsonville,97070,45.326814,-122.770853
AZ,Avondale,85323,33.459826,-112.284168
AZ,Chandler,85286,33.286316,-111.791107
AZ,Lake Havasu City,86404,34.54217,-114.35287
AZ,Mesa,85206,33.385361,-111.695062
AZ,Mesa,85201,33.434313,-111.872266
AZ,Peoria,85382,33.636921,-112.253682
AZ,Phoenix,85014,33.509862,-112.054162
AZ,Surprise,85388,33.605183,-112.420442
AZ,Phoenix,85023,33.639038,-112.108088
AZ,Scottsdale,85260,33.635224,-111.915739
AZ,Tempe,85284,33.346812,-111.967793
AZ,Tucson,85705,32.289823,-110.985646
AZ,Tucson,85711,32.207374,-110.881798
CA,Antioch,94509,38.007799,-121.832042
CA,Bakersfield,93313,35.310723,-119.035324
CA,Buena Park,90621,33.865497,-117.995215
CA,Carson,90745,33.824968,-118.245675
CA,Cathedral City,92234,33.78414,-116.471
CA,Cerritos,90703,33.861544,-118.100471
CA,Chico,95926,39.756332,-121.843715
CA,City of Industry,91748,33.997621,-117.928216
CA,Clovis,93612,36.836818,-119.717629
CA,Colma,94014,37.671267,-122.463541
CA,Concord,94520,37.980192,-122.050128
CA,Corona,92882,33.88309,-117.615292
CA,Costa Mesa,92626,33.675397,-117.918684
CA,Davis,95618,38.55252,-121.691555
CA,Downey,90241,33.9473,-118.151166
CA,Duarte,91010,34.136553,-117.975944
CA,El Cajon,92020,32.795896,-116.976156
CA,El Monte,91731,34.069536,-118.026911
CA,Elk Grove,95757,38.402217,-121.385527
CA,Escondido,92029,33.116492,-117.106837
CA,Eureka,95501,40.800562,-124.164405
CA,Folsom,95630,38.634132,-121.204871
CA,Fontana,92336,34.135345,-117.445732
CA,Fremont,94538,37.489389,-121.9576
CA,Fresno,93710,36.818622,-119.789796
CA,Garden Grove,92844,33.766376,-117.968337
CA,Gardena,90247,33.889201,-118.307028
CA,Gilroy,95020,36.996869,-121.558573
CA,Glendale,91204,34.137054,-118.25536
CA,Goleta,93117,34.43427,-119.820934
CA,Hayward,94544,37.662305,-122.075178
CA,Hemet,92545,33.741163,-117.031718
CA,Huntington Beach,92647,33.71069,-117.989861
CA,Irvine,92618,33.632505,-117.723298
CA,La Quinta,92253,33.70711,-116.283712
CA,Los Angeles,90015,34.035168,-118.273229
CA,Los Angeles,90068,34.133446,-118.356601
CA,Merced,95340,37.305891,-120.502428
CA,Mission Hills,91345,34.269809,-118.466606
CA,Modesto,95356,37.705119,-120.99471
CA,Montclair,91763,34.082404,-117.694876
CA,Redlands,92374,34.065387,-117.212007
CA,Napa,94559,38.292706,-122.277767
CA,National City,91950,32.659001,-117.100836
CA,Oceanside,92056,33.181953,-117.298334
CA,Orange,92867,33.80857,-117.864434
CA,Oxnard,93036,34.22771,-119.150217
CA,Palmdale,93551,34.591173,-118.138184
CA,Petaluma,94952,38.267202,-122.665068
CA,Poway,92064,32.956772,-117.025943
CA,Redding,96002,40.571632,-122.36654
CA,Redwood City,94063,37.495963,-122.227322
CA,Richmond,94806,37.985253,-122.32124
CA,Riverside,92507,33.941878,-117.297603
CA,Riverside,92504,33.925469,-117.419673
CA,Roseville,95661,38.752198,-121.256452
CA,Sacramento,95821,38.631393,-121.396604
CA,Salinas,93907,36.720023,-121.662519
CA,San Bernardino,92408,34.074378,-117.298
CA,San Diego,92111,32.833179,-117.147384
CA,San Diego,92109,32.802475,-117.215269
CA,Sunnyvale,94087,37.359362,-122.022783
CA,San Jose,95136,37.275144,-121.877656
CA,San Juan Capistrano,92675,33.47443,-117.676142
CA,San Leandro,94577,37.712609,-122.162746
CA,San Luis Obispo,93405,35.25062,-120.68455
CA,Santa Clara,95051,37.323569,-121.988027
CA,Santa Rosa,95404,38.425537,-122.714089
